t,rms,p2p,crest,kurtosis,equipment
0.0,0.13612382303536,1.187745,4.398061901659084,3.374574059613006,MOTOR_001
0.25,0.13809352798178848,1.1632470000000001,4.827069086741765,3.3209244780049736,MOTOR_001
0.5,0.13870995368086197,1.399389,5.282980640927903,3.6471906667353666,MOTOR_001
0.75,0.13513786476052245,1.386752,5.4226252671565955,3.6770308106866176,MOTOR_001
1.0,0.13306902904875395,1.392353,5.723022144551608,3.49402281088729,MOTOR_001
1.25,0.1330091687382213,1.392353,5.725597770623163,3.458135654507962,MOTOR_001
1.5,0.13225932411499058,1.11598,4.612771190858156,3.37011835640515,MOTOR_001
1.75,0.13455267422985043,1.227757,4.5905813729488045,3.418519391517099,MOTOR_001
2.0,0.13539420403096425,1.3389259999999998,5.327044869919631,3.5833510957857237,MOTOR_001
2.25,0.13818590426438807,1.318698,5.219425265112759,3.629093871035663,MOTOR_001
2.5,0.13597097830811083,1.161718,4.393930288904611,3.430291108329879,MOTOR_001
2.75,0.1356856542074023,1.1791179999999999,4.6278215900420765,3.3516661558176435,MOTOR_001
3.0,0.13809880374865624,1.292468,4.812054717066775,3.3898631845881537,MOTOR_001
3.25,0.13761856913682835,1.177273,4.82884689303285,3.3343651125533245,MOTOR_001
3.5,0.13849052992217553,1.3736,5.652039893557104,3.5525617072419235,MOTOR_001
3.75,0.1375035157964702,1.3302239999999999,5.69261080682923,3.6197968952939603,MOTOR_001
4.0,0.1341507904487973,1.09672,4.09427330366449,3.3082289836497734,MOTOR_001
4.25,0.13210511802410183,1.059361,4.0879945310027415,3.2138752512111957,MOTOR_001
4.5,0.13322831429088375,1.11453,4.467623891873621,3.3266885368763734,MOTOR_001
4.75,0.1362551110934485,1.233521,4.631400575991623,3.3846636789948796,MOTOR_001
5.0,0.13619703981637366,1.3845809999999998,5.18038425028367,3.6220282137898745,MOTOR_001
5.25,0.13422797011752524,1.3845809999999998,5.256378379128008,3.5327796585134976,MOTOR_001
5.5,0.1361083043226193,1.0779800000000002,4.140967024789642,3.304988552246613,MOTOR_001
5.75,0.1367932197627088,1.119467,4.423516026961434,3.342519043722731,MOTOR_001
6.0,0.13428608952127963,1.087475,4.506103366008821,3.1925815212616344,MOTOR_001
6.25,0.1332286411902603,1.114946,4.327372814503698,3.256702987198294,MOTOR_001
6.5,0.1327448273227398,1.165644,4.437943171734287,3.297068952001497,MOTOR_001
6.75,0.13143143616722275,1.1813639999999999,5.13005122413894,3.4751778456746636,MOTOR_001
7.0,0.1327654175477174,1.1813639999999999,5.078506228910604,3.3929309284667153,MOTOR_001
7.25,0.13270198731229876,0.968953,3.7616995051115993,3.095223268979698,MOTOR_001
7.5,0.13208284868516473,1.133245,4.932131661945064,3.0971232096280774,MOTOR_001
